name	length	type	molecule	unit	aliases
chr1	195154279	assembled	chr1	primary	1,CM000994.3,NC_000067.7
chr2	181755017	assembled	chr2	primary	2,CM000995.3,NC_000068.8
chr3	159745316	assembled	chr3	primary	3,CM000996.3,NC_000069.7
chr4	156860686	assembled	chr4	primary	4,CM000997.3,NC_000070.7
chr5	151758149	assembled	chr5	primary	5,CM000998.3,NC_000071.7
chr6	149588044	assembled	chr6	primary	6,CM000999.3,NC_000072.7
chr7	144995196	assembled	chr7	primary	7,CM001000.3,NC_000073.7
chr8	130127694	assembled	chr8	primary	8,CM001001.3,NC_000074.7
chr9	124359700	assembled	chr9	primary	9,CM001002.3,NC_000075.7
chr10	130530862	assembled	chr10	primary	10,CM001003.3,NC_000076.7
chr11	121973369	assembled	chr11	primary	11,CM001004.3,NC_000077.7
chr12	120092757	assembled	chr12	primary	12,CM001005.3,NC_000078.7
chr13	120883175	assembled	chr13	primary	13,CM001006.3,NC_000079.7
chr14	125139656	assembled	chr14	primary	14,CM001007.3,NC_000080.7
chr15	104073951	assembled	chr15	primary	15,CM001008.3,NC_000081.7
chr16	98008968	assembled	chr16	primary	16,CM001009.3,NC_000082.7
chr17	95294699	assembled	chr17	primary	17,CM001010.3,NC_000083.7
chr18	90720763	assembled	chr18	primary	18,CM001011.3,NC_000084.7
chr19	61420004	assembled	chr19	primary	19,CM001012.3,NC_000085.7
chrX	169476592	assembled	chrX	primary	X,CM001013.3,NC_000086.8
chrY	91455967	assembled	chrY	primary	Y,CM001014.3,NC_000087.8
chrM	16299	assembled	chrM	non-nuclear	MT,AY172335.1,NC_005089.1
chr1_GL456210v1_random	169725	unlocalized	chr1	primary	GL456210.1,MMCHR1_RANDOM_CTG1,NT_166280.1
chr1_GL456211v1_random	241735	unlocalized	chr1	primary	GL456211.1,MMCHR1_RANDOM_CTG2,NT_166281.1
chr1_GL456212v1_random	153618	unlocalized	chr1	primary	GL456212.1,MMCHR1_RANDOM_CTG3,NT_166282.1
chr1_GL456221v1_random	206961	unlocalized	chr1	primary	GL456221.1,MMCHR1_RANDOM_CTG5,NT_162750.1
chr1_GL456239v1_random	40056	unlocalized	chr1	primary	GL456239.1,MMCHR1_RANDOM_CTG7,NT_166338.1
chr1_MU069434v1_random	8412	unlocalized	chr1	primary	MMCHR1_RANDOM_CTG6,MU069434.1,NW_023337853.1
chr4_JH584295v1_random	1976	unlocalized	chr4	primary	JH584295.1,MMCHR4UN_CTG6,NT_187055.1
chr5_GL456354v1_random	195993	unlocalized	chr5	primary	GL456354.1,MMCHR5_RANDOM_CTG4,NT_166438.1
chr5_JH584296v1_random	199368	unlocalized	chr5	primary	JH584296.1,MMCHR5_RANDOM_CTG1,NT_187056.1
chr5_JH584297v1_random	205776	unlocalized	chr5	primary	JH584297.1,MMCHR5_RANDOM_CTG2,NT_187057.1
chr5_JH584298v1_random	184189	unlocalized	chr5	primary	JH584298.1,MMCHR5_RANDOM_CTG3,NT_187058.1
chr5_JH584299v1_random	953012	unlocalized	chr5	primary	JH584299.1,MMCHR5_RANDOM_CTG5,NT_187059.1
chr7_GL456219v1_random	175968	unlocalized	chr7	primary	GL456219.1,MMCHR7_RANDOM_CTG1,NT_166307.1
chrX_GL456233v2_random	559103	unlocalized	chrX	primary	GL456233.2,MMCHRX_RANDOM_CTG2,NT_165789.3
chrY_JH584300v1_random	182347	unlocalized	chrY	primary	JH584300.1,MMCHRY_CTGU1,NT_187060.1
chrY_JH584301v1_random	259875	unlocalized	chrY	primary	JH584301.1,MMCHRY_CTGU2,NT_187061.1
chrY_JH584302v1_random	155838	unlocalized	chrY	primary	JH584302.1,MMCHRY_CTGU3,NT_187062.1
chrY_JH584303v1_random	158099	unlocalized	chrY	primary	JH584303.1,MMCHRY_CTGU4,NT_187063.1
chrUn_GL456359v1	22974	unplaced		primary	GL456359.1,MSCHRUN_CTG13,NT_166443.1
chrUn_GL456360v1	31704	unplaced		primary	GL456360.1,MSCHRUN_CTG14,NT_166444.1
chrUn_GL456366v1	47073	unplaced		primary	GL456366.1,MSCHRUN_CTG21,NT_166450.1
chrUn_GL456367v1	42057	unplaced		primary	GL456367.1,MSCHRUN_CTG2,NT_166451.1
