name	length	type	molecule	unit	aliases
chr1	249250621	assembled	chr1	primary	1,CM000663.1,NC_000001.10
chr2	243199373	assembled	chr2	primary	2,CM000664.1,NC_000002.11
chr3	198022430	assembled	chr3	primary	3,CM000665.1,NC_000003.11
chr4	191154276	assembled	chr4	primary	4,CM000666.1,NC_000004.11
chr5	180915260	assembled	chr5	primary	5,CM000667.1,NC_000005.9
chr6	171115067	assembled	chr6	primary	6,CM000668.1,NC_000006.11
chr7	159138663	assembled	chr7	primary	7,CM000669.1,NC_000007.13
chr8	146364022	assembled	chr8	primary	8,CM000670.1,NC_000008.10
chr9	141213431	assembled	chr9	primary	9,CM000671.1,NC_000009.11
chr10	135534747	assembled	chr10	primary	10,CM000672.1,NC_000010.10
chr11	135006516	assembled	chr11	primary	11,CM000673.1,NC_000011.9
chr12	133851895	assembled	chr12	primary	12,CM000674.1,NC_000012.11
chr13	115169878	assembled	chr13	primary	13,CM000675.1,NC_000013.10
chr14	107349540	assembled	chr14	primary	14,CM000676.1,NC_000014.8
chr15	102531392	assembled	chr15	primary	15,CM000677.1,NC_000015.9
chr16	90354753	assembled	chr16	primary	16,CM000678.1,NC_000016.9
chr17	81195210	assembled	chr17	primary	17,CM000679.1,NC_000017.10
chr18	78077248	assembled	chr18	primary	18,CM000680.1,NC_000018.9
chr19	59128983	assembled	chr19	primary	19,CM000681.1,NC_000019.9
chr20	63025520	assembled	chr20	primary	20,CM000682.1,NC_000020.10
chr21	48129895	assembled	chr21	primary	21,CM000683.1,NC_000021.8
chr22	51304566	assembled	chr22	primary	22,CM000684.1,NC_000022.10
chrX	155270560	assembled	chrX	primary	X,CM000685.1,NC_000023.10
chrY	59373566	assembled	chrY	primary	Y,CM000686.1,NC_000024.9
chrM	16571	assembled	chrM	non-nuclear	NC_001807.4
chrMT	16569	assembled	chrMT	non-nuclear-revised	MT,J01415.2,NC_012920.1
chr1_gl000191_random	106433	unlocalized	chr1	primary	GL000191.1,HSCHR1_RANDOM_CTG5,NT_113878.1
