name	length	type	molecule	unit	aliases
chr1	195471971	assembled	chr1	primary	1,CM000994.2,NC_000067.6
chr2	182113224	assembled	chr2	primary	2,CM000995.2,NC_000068.7
chr3	160039680	assembled	chr3	primary	3,CM000996.2,NC_000069.6
chr4	156508116	assembled	chr4	primary	4,CM000997.2,NC_000070.6
chr5	151834684	assembled	chr5	primary	5,CM000998.2,NC_000071.6
chr6	149736546	assembled	chr6	primary	6,CM000999.2,NC_000072.6
chr7	145441459	assembled	chr7	primary	7,CM001000.2,NC_000073.6
chr8	129401213	assembled	chr8	primary	8,CM001001.2,NC_000074.6
chr9	124595110	assembled	chr9	primary	9,CM001002.2,NC_000075.6
chr10	130694993	assembled	chr10	primary	10,CM001003.2,NC_000076.6
chr11	122082543	assembled	chr11	primary	11,CM001004.2,NC_000077.6
chr12	120129022	assembled	chr12	primary	12,CM001005.2,NC_000078.6
chr13	120421639	assembled	chr13	primary	13,CM001006.2,NC_000079.6
chr14	124902244	assembled	chr14	primary	14,CM001007.2,NC_000080.6
chr15	104043685	assembled	chr15	primary	15,CM001008.2,NC_000081.6
chr16	98207768	assembled	chr16	primary	16,CM001009.2,NC_000082.6
chr17	94987271	assembled	chr17	primary	17,CM001010.2,NC_000083.6
chr18	90702639	assembled	chr18	primary	18,CM001011.2,NC_000084.6
chr19	61431566	assembled	chr19	primary	19,CM001012.2,NC_000085.6
chrX	171031299	assembled	chrX	primary	X,CM001013.2,NC_000086.7
chrY	91744698	assembled	chrY	primary	Y,CM001014.2,NC_000087.7
chrM	16299	assembled	chrM	non-nuclear	MT,AY172335.1,NC_005089.1
chr1_GL456210_random	169725	unlocalized	chr1	primary	GL456210.1,MMCHR1_RANDOM_CTG1,NT_166280.1
chr1_GL456211_random	241735	unlocalized	chr1	primary	GL456211.1,MMCHR1_RANDOM_CTG2,NT_166281.1
chr1_GL456212_random	153618	unlocalized	chr1	primary	GL456212.1,MMCHR1_RANDOM_CTG3,NT_166282.1
chr1_GL456213_random	39340	unlocalized	chr1	primary	GL456213.1,MMCHR1_RANDOM_CTG4,NT_166283.1
chr1_GL456221_random	206961	unlocalized	chr1	primary	GL456221.1,MMCHR1_RANDOM_CTG5,NT_162750.1
chr4_GL456216_random	66673	unlocalized	chr4	primary	GL456216.1,MMCHR4UN_CTG1,NT_166291.1
chr4_GL456350_random	227966	unlocalized	chr4	primary	GL456350.1,MMCHR4UN_CTG3,NT_166434.1
chr4_JH584292_random	14945	unlocalized	chr4	primary	JH584292.1,MMCHR4UN_CTG2,NT_187052.1
chr4_JH584293_random	207968	unlocalized	chr4	primary	JH584293.1,MMCHR4UN_CTG4,NT_187053.1
chr4_JH584294_random	191905	unlocalized	chr4	primary	JH584294.1,MMCHR4UN_CTG5,NT_187054.1
chr4_JH584295_random	1976	unlocalized	chr4	primary	JH584295.1,MMCHR4UN_CTG6,NT_187055.1
chr5_GL456354_random	195993	unlocalized	chr5	primary	GL456354.1,MMCHR5_RANDOM_CTG4,NT_166438.1
chr5_JH584296_random	199368	unlocalized	chr5	primary	JH584296.1,MMCHR5_RANDOM_CTG1,NT_187056.1
chr5_JH584297_random	205776	unlocalized	chr5	primary	JH584297.1,MMCHR5_RANDOM_CTG2,NT_187057.1
chr5_JH584298_random	184189	unlocalized	chr5	primary	JH584298.1,MMCHR5_RANDOM_CTG3,NT_187058.1
chr5_JH584299_random	953012	unlocalized	chr5	primary	JH584299.1,MMCHR5_RANDOM_CTG5,NT_187059.1
chr7_GL456219_random	175968	unlocalized	chr7	primary	GL456219.1,MMCHR7_RANDOM_CTG1,NT_166307.1
chrX_GL456233_random	336933	unlocalized	chrX	primary	GL456233.1,MMCHRX_RANDOM_CTG2,NT_165789.2
chrY_JH584300_random	182347	unlocalized	chrY	primary	JH584300.1,MMCHRY_CTGU1,NT_187060.1
chrY_JH584301_random	259875	unlocalized	chrY	primary	JH584301.1,MMCHRY_CTGU2,NT_187061.1
chrY_JH584302_random	155838	unlocalized	chrY	primary	JH584302.1,MMCHRY_CTGU3,NT_187062.1
chrY_JH584303_random	158099	unlocalized	chrY	primary	JH584303.1,MMCHRY_CTGU4,NT_187063.1
chrUn_GL456239	40056	unplaced		primary	GL456239.1,MSCHRUN_CTG1,NT_166338.1
chrUn_GL456359	22974	unplaced		primary	GL456359.1,MSCHRUN_CTG13,NT_166443.1
chrUn_GL456360	31704	unplaced		primary	GL456360.1,MSCHRUN_CTG14,NT_166444.1
chrUn_GL456366	47073	unplaced		primary	GL456366.1,MSCHRUN_CTG21,NT_166450.1
chrUn_GL456367	42057	unplaced		primary	GL456367.1,MSCHRUN_CTG2,NT_166451.1
chrUn_GL456368	20208	unplaced		primary	GL456368.1,MSCHRUN_CTG22,NT_166452.1
chrUn_GL456370	26764	unplaced		primary	GL456370.1,MSCHRUN_CTG19,NT_166454.1
chrUn_GL456372	28664	unplaced		primary	GL456372.1,MSCHRUN_CTG16,NT_166456.1
chrUn_GL456378	31602	unplaced		primary	GL456378.1,MSCHRUN_CTG3,NT_166462.1
chrUn_GL456379	72385	unplaced		primary	GL456379.1,MSCHRUN_CTG20,NT_166463.1
chrUn_GL456381	25871	unplaced		primary	GL456381.1,MSCHRUN_CTG4,NT_166465.1
chrUn_GL456382	23158	unplaced		primary	GL456382.1,MSCHRUN_CTG5,NT_166466.1
chrUn_GL456383	38659	unplaced		primary	GL456383.1,MSCHRUN_CTG6,NT_166467.1
chrUn_GL456385	35240	unplaced		primary	GL456385.1,MSCHRUN_CTG7,NT_166469.1
chrUn_GL456387	24685	unplaced		primary	GL456387.1,MSCHRUN_CTG17,NT_166471.1
chrUn_GL456389	28772	unplaced		primary	GL456389.1,MSCHRUN_CTG18,NT_166473.1
chrUn_GL456390	24668	unplaced		primary	GL456390.1,MSCHRUN_CTG9,NT_166474.1
chrUn_GL456392	23629	unplaced		primary	GL456392.1,MSCHRUN_CTG10,NT_166476.1
chrUn_GL456393	55711	unplaced		primary	GL456393.1,MSCHRUN_CTG11,NT_166477.1
chrUn_GL456394	24323	unplaced		primary	GL456394.1,MSCHRUN_CTG12,NT_166478.1
chrUn_GL456396	21240	unplaced		primary	GL456396.1,MSCHRUN_CTG15,NT_166480.1
chrUn_JH584304	114452	unplaced		primary	JH584304.1,MSCHRUN_CTG23,NT_187064.1
