name	length	type	molecule	unit	aliases
chr1	59578282	assembled	chr1	primary	1,CM002885.2,NC_007112.7
chr2	59640629	assembled	chr2	primary	2,CM002886.2,NC_007113.7
chr3	62628489	assembled	chr3	primary	3,CM002887.2,NC_007114.7
chr4	78093715	assembled	chr4	primary	4,CM002888.2,NC_007115.7
chr5	72500376	assembled	chr5	primary	5,CM002889.2,NC_007116.7
chr6	60270059	assembled	chr6	primary	6,CM002890.2,NC_007117.7
chr7	74282399	assembled	chr7	primary	7,CM002891.2,NC_007118.7
chr8	54304671	assembled	chr8	primary	8,CM002892.2,NC_007119.7
chr9	56459846	assembled	chr9	primary	9,CM002893.2,NC_007120.7
chr10	45420867	assembled	chr10	primary	10,CM002894.2,NC_007121.7
chr11	45484837	assembled	chr11	primary	11,CM002895.2,NC_007122.7
chr12	49182954	assembled	chr12	primary	12,CM002896.2,NC_007123.7
chr13	52186027	assembled	chr13	primary	13,CM002897.2,NC_007124.7
chr14	52660232	assembled	chr14	primary	14,CM002898.2,NC_007125.7
chr15	48040578	assembled	chr15	primary	15,CM002899.2,NC_007126.7
chr16	55266484	assembled	chr16	primary	16,CM002900.2,NC_007127.7
chr17	53461100	assembled	chr17	primary	17,CM002901.2,NC_007128.7
chr18	51023478	assembled	chr18	primary	18,CM002902.2,NC_007129.7
chr19	48449771	assembled	chr19	primary	19,CM002903.2,NC_007130.7
chr20	55201332	assembled	chr20	primary	20,CM002904.2,NC_007131.7
chr21	45934066	assembled	chr21	primary	21,CM002905.2,NC_007132.7
chr22	39133080	assembled	chr22	primary	22,CM002906.2,NC_007133.7
chr23	46223584	assembled	chr23	primary	23,CM002907.2,NC_007134.7
chr24	42172926	assembled	chr24	primary	24,CM002908.2,NC_007135.7
chr25	37502051	assembled	chr25	primary	25,CM002909.2,NC_007136.7
chrM	16596	assembled	chrM	non-nuclear	MT,AC024175.3,NC_002333.2
chrUn_KN147552v2	24373	unplaced		primary	KN147552.2,NW_003334243.2
chrUn_KN147632v2	184438	unplaced		primary	KN147632.2,NW_003336270.3
chrUn_KN147636v1	203829	unplaced		primary	KN147636.1,NW_001884452.4
